state,alpha,interval,pop_start,pop_end,seat_start,seat_end,pct_pop,pct_seat,REexp,RRE,REG
India,0.4,2026_2036,142.59,152.22,69,69,0.0675362928676625,0.0,0.0,0.0,1.0
Andhra Pradesh,0.4,2026_2036,5.37,5.42,19,18,0.009310986964618215,-0.05263157894736842,-5.652631578947389,-14.131578947368473,15.131578947368473
Arunachal Pradesh,0.4,2026_2036,0.16,0.17,5,5,0.06250000000000006,0.0,0.0,0.0,1.0
Assam,0.4,2026_2036,3.67,3.93,16,16,0.07084468664850142,0.0,0.0,0.0,1.0
Bihar,0.4,2026_2036,13.22,14.85,27,27,0.1232980332829046,0.0,0.0,0.0,1.0
Chhattisgarh,0.4,2026_2036,3.12,3.4,15,15,0.08974358974358967,0.0,0.0,0.0,1.0
Goa,0.4,2026_2036,0.159,0.166,5,5,0.04402515723270444,0.0,0.0,0.0,1.0
Gujarat,0.4,2026_2036,7.4,8.13,21,22,0.0986486486486487,0.047619047619047616,0.48271363339856466,1.2067840834964116,-0.20678408349641164
Haryana,0.4,2026_2036,3.12,3.44,15,15,0.1025641025641025,0.0,0.0,0.0,1.0
Himachal Pradesh,0.4,2026_2036,0.75,0.778,9,8,0.037333333333333364,-0.1111111111111111,-2.9761904761904736,-7.440476190476184,8.440476190476183
Jharkhand,0.4,2026_2036,4.09,4.51,17,17,0.10268948655256722,0.0,0.0,0.0,1.0
Karnataka,0.4,2026_2036,6.89,7.19,21,20,0.04354136429608138,-0.047619047619047616,-1.093650793650791,-2.7341269841269775,3.7341269841269775
Kerala,0.4,2026_2036,3.62,3.69,16,16,0.01933701657458559,0.0,0.0,0.0,1.0
Lakshadweep,0.4,2026_2036,0.007,0.0071,1,1,0.014285714285714323,0.0,0.0,0.0,1.0
Madhya Pradesh,0.4,2026_2036,8.96,9.78,23,23,0.09151785714285697,0.0,0.0,0.0,1.0
Maharashtra,0.4,2026_2036,12.93,13.67,27,26,0.05723124516627999,-0.037037037037037035,-0.6471471471471468,-1.617867867867867,2.617867867867867
Manipur,0.4,2026_2036,0.33,0.35,6,6,0.06060606060606049,0.0,0.0,0.0,1.0
Meghalaya,0.4,2026_2036,0.344,0.368,6,6,0.06976744186046518,0.0,0.0,0.0,1.0
Mizoram,0.4,2026_2036,0.127,0.136,4,4,0.07086614173228353,0.0,0.0,0.0,1.0
Nagaland,0.4,2026_2036,0.22,0.24,5,5,0.09090909090909087,0.0,0.0,0.0,1.0
Odisha,0.4,2026_2036,4.71,4.9,18,18,0.04033970276008501,0.0,0.0,0.0,1.0
Punjab,0.4,2026_2036,3.13,3.26,15,15,0.041533546325878565,0.0,0.0,0.0,1.0
Rajasthan,0.4,2026_2036,8.36,9.05,22,22,0.08253588516746427,0.0,0.0,0.0,1.0
Sikkim,0.4,2026_2036,0.07,0.075,3,3,0.07142857142857129,0.0,0.0,0.0,1.0
Tamil Nadu,0.4,2026_2036,7.75,7.806,22,21,0.00722580645161291,-0.045454545454545456,-6.29058441558441,-15.726461038961025,16.726461038961027
Telangana,0.4,2026_2036,3.86,3.94,16,16,0.020725388601036288,0.0,0.0,0.0,1.0
Tripura,0.4,2026_2036,0.426,0.456,7,7,0.07042253521126766,0.0,0.0,0.0,1.0
Uttar Pradesh,0.4,2026_2036,24.28,25.89,34,34,0.06630971993410212,0.0,0.0,0.0,1.0
Uttarakhand,0.4,2026_2036,1.13,1.25,10,10,0.10619469026548684,0.0,0.0,0.0,1.0
West Bengal,0.4,2026_2036,10.05,10.29,24,24,0.023880597014925217,0.0,0.0,0.0,1.0
Andaman & Nicobar Islands,0.4,2026_2036,0.0406,0.0413,3,3,0.01724137931034498,0.0,0.0,0.0,1.0
Chandigarh,0.4,2026_2036,0.126,0.136,4,4,0.07936507936507943,0.0,0.0,0.0,1.0
Dadra & Nagar Haveli,0.4,2026_2036,0.083,0.17,4,5,1.0481927710843373,0.25,0.2385057471264368,0.5962643678160919,0.40373563218390807
Daman & Diu,0.4,2026_2036,0.07,0.196,3,5,1.7999999999999998,0.6666666666666666,0.3703703703703704,0.9259259259259259,0.07407407407407407
Delhi (NCT),0.4,2026_2036,2.25,2.65,13,14,0.17777777777777773,0.07692307692307693,0.4326923076923078,1.0817307692307694,-0.08173076923076938
Jammu & Kashmir,0.4,2026_2036,1.38,1.47,11,11,0.0652173913043479,0.0,0.0,0.0,1.0
Ladakh,0.4,2026_2036,0.03,0.0316,2,2,0.053333333333333476,0.0,0.0,0.0,1.0
Puducherry,0.4,2026_2036,0.175,0.218,5,5,0.2457142857142858,0.0,0.0,0.0,1.0
India,0.4,2036_2046,152.22,166.813594,69,69,0.09587172513467347,0.0,0.0,0.0,1.0
Andhra Pradesh,0.4,2036_2046,5.42,5.620267,18,18,0.03694963099631,0.0,0.0,0.0,1.0
Arunachal Pradesh,0.4,2036_2046,0.17,0.189257,5,5,0.11327647058823527,0.0,0.0,0.0,1.0
Assam,0.4,2036_2046,3.93,4.310104,16,16,0.09671857506361317,0.0,0.0,0.0,1.0
Bihar,0.4,2036_2046,14.85,17.12394,27,28,0.15312727272727283,0.037037037037037035,0.24187093766766035,0.6046773441691509,0.39532265583084913
Chhattisgarh,0.4,2036_2046,3.4,3.814647,15,15,0.121955,0.0,0.0,0.0,1.0
Goa,0.4,2036_2046,0.166,0.175228,5,4,0.05559036144578305,-0.2,-3.5977459904638116,-8.99436497615953,9.99436497615953
Gujarat,0.4,2036_2046,8.13,9.156131,22,22,0.12621537515375145,0.0,0.0,0.0,1.0
Haryana,0.4,2036_2046,3.44,3.889857,15,15,0.13077238372093028,0.0,0.0,0.0,1.0
Himachal Pradesh,0.4,2036_2046,0.778,0.821047,8,8,0.05533033419023129,0.0,0.0,0.0,1.0
