State/UT,Population_1991_thousands
Andhra Pradesh,66508
Arunachal Pradesh,865
Assam,22414
Bihar,64531
Goa,1177
Gujarat,41309
Haryana,16464
Himachal Pradesh,5171
Jammu & Kashmir,7719
Karnataka,44978
Kerala,29118
Madhya Pradesh,48566
Maharashtra,78937
Manipur,1837
Meghalaya,1775
Mizoram,690
Nagaland,1210
Orissa,31660
Punjab,20282
Rajasthan,44006
Sikkim,406
Tamil Nadu,55859
Tripura,2756
Uttar Pradesh,132062
West Bengal,68078
Andaman & Nicobar Islands,281
Chandigarh,642
Delhi,9420
Lakshadweep,52
Pondicherry,808
