State/UT,Population_2011_thousands
Andhra Pradesh,84581
Arunachal Pradesh,1384
Assam,31206
Bihar,104099
Chhattisgarh,25545
Goa,1459
Gujarat,60439
Haryana,25351
Himachal Pradesh,6857
Jammu & Kashmir,12549
Jharkhand,32966
Karnataka,61131
Kerala,33406
Madhya Pradesh,72598
Maharashtra,112374
Manipur,2722
Meghalaya,2964
Mizoram,1097
Nagaland,1979
Odisha,41974
Punjab,27704
Rajasthan,68548
Sikkim,611
Tamil Nadu,72139
Tripura,3674
Uttar Pradesh,199812
Uttarakhand,10086
West Bengal,91276
Andaman & Nicobar Islands,380
Chandigarh,1055
Dadra & Nagar Haveli,343
Daman & Diu,243
Delhi,16788
Lakshadweep,64
Puducherry,1255
